id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country
1;Garnett;Schinner;FEMALE;"ui9D2e@E2..[j;m";1-617-600-9789;Electronics;Soap methodology Albania;North Einar;Madagascar
2;Leopold;Jacobi;MALE;"\`_9]%@:~U.+pe;p";595.408.6614;Automotive;Planner cross-platform access;East Markusberg;Japan
3;Marjorie;Cartwright;OTHER;"`56*@exsw}.XA;o\e";1-452-551-0987;Markets Chief;capacitor archive;Cleveport;Aruba
4;Victoria;Hane;FEMALE;"pXfT@(o>~kz.>4k";1-281-009-4731;Books;magenta monitor 1080p;Aprilside;Guernsey
5;Mac;Buckridge;MALE;"c@/dWg/.G"":H";1-562-854-3197 x8775;compress;Sleek Metal Table Small;North Collin;Antarctica (the territory South of 60 deg S)
6;Sonny;Nicolas;OTHER;"0[PX3V@[gB{%.(=";229.052.6189 x6826;RSS;mint green e-business EXE;Lake Bonnie;Tokelau
7;Fleta;Halvorson;OTHER;"<!c8~X@Ci.E<";1-544-261-2329 x132;Oklahoma facilitate;Engineer;Franeckiberg;Paraguay
8;Jerry;Rath;OTHER;"6@\/.`8";(023) 962-6154;Designer Persistent;Handmade 24/7 Re-contextualized;Hilllview;New Caledonia
9;Wilmer;Nader;OTHER;")sp:WB@]*.(Zr";853-620-7582;deposit Sausages;disintermediate Cambridgeshire hacking;Evanchester;Botswana
10;Corene;Walsh;FEMALE;"E\-@5~(v.6tl:";1-229-098-5986 x132;Saint Helena Pound programming;AI optical invoice;Port Carolynemouth;Tonga
